HCode,Name,Facility Type,City,State,County,Zip Code,Zip,Corp Hcode,Contract/Corp Entity Name,Tax ID,BCBSTX ID,Facility Medicare Id,Provider Count
31341,Mata Physical Therapy Clinic,Physical Rehab,McAllen,TX,Hidalgo,78504,785,90419,Ptpn Of Texas,742754715,,-,1
31385,Garland Picou Treatment Center,Physical Rehab,Lufkin,TX,Angelina,75904,759,31385,Garland Picou Treatment Center,752297158,,-,1
31582,Huntsville Memorial Hospital,Acute Care Gen,Huntsville,TX,Walker,77340,773,323054,PHCS Direct Contracts,843654542,,450347,1
31595,Covenant Hospital Plainview,Acute Care Gen,Plainview,TX,Hale,79072,790,321298,Covenant Hospital Plainview,752426010,,450539,1
31598,CHRISTUS Santa Rosa Hospital,Acute Care Gen,San Antonio,TX,Bexar,78207,782,207627,Christus Health Ark-La-Tex,741109665,,450237,1
31599,CHRISTUS Santa Rosa Medical Center,Acute Care Gen,San Antonio,TX,Bexar,78229,782,207627,Christus Health Ark-La-Tex,741109665,,450237,1
31720,Southwest Diagnostic Imaging Center,Diagnostic Service,Dallas,TX,Dallas,75231,752,140283,Texas Health Resources,752008026,,FTXVU3,1
31767,Texas Physical Therapy Specialist,Physical Rehab,Austin,TX,Travis,78759,787,50247,US Physical Therapy,760384229,,-,1
31858,Central Texas Imaging Center,Diagnostic Service,Austin,TX,Travis,78705,787,31858,Central Texas Imaging Center,742386557,,-,1
32131,Baylor Scott and White Medical Center at Waxahachie,Acute Care Gen,Waxahachie,TX,Ellis,75165,751,323524,Baylor Scott and White Health,751844139,,450372,1
33068,Memorial Hermann TIRR,Acute Care Gen,Houston,TX,Harris,77030,770,39708,Memorial Hermann Hospital System,741152597,,453025,1
33069,Uvalde Memorial Hospital,Acute Care Gen,Uvalde,TX,Uvalde,78801,788,706630,Uvalde Memorial Hospital,741603120,,450177,1
33070,North Central Baptist Hospital,Acute Care Gen,San Antonio,TX,Bexar,78258,782,701482,Tenet Healthcare-National,760714523,,-,1
33075,Hamilton General Hospital,Acute Care Gen,Hamilton,TX,Hamilton,76531,765,33075,Hamilton General Hospital,742570068,,450754,1
33078,Golden Plains Community Hospital,Acute Care Gen,Borger,TX,Hutchinson,79007,790,707821,Golden Plains Community Hospital,260328929,,451369,1
33504,Hunt Regional Healthcare,Acute Care Gen,Greenville,TX,Hunt,75401,754,6740713,Hunt Memorial Hospital District,751277293,,450352,1
33768,Kingwood Physical Therapy,Physical Rehab,Kingwood,TX,Montgomery,77339,773,50247,US Physical Therapy,760384227,,456741,1
33871,Texas Lithotripsy VIII,Outpatient Services,Shenandoah,TX,Montgomery,77380,773,68396,HealthTronics Laboratory Solutions,742976057,,-,1
33883,Bay Area Surgicare Center,Outpatient Services,Webster,TX,Harris,77598,775,366234,HCA Houston Healthcare,621600411,,451012,1
33884,Texas Lithotripsy LP VIII,Outpatient Services,Conroe,TX,Montgomery,77304,773,68396,HealthTronics Laboratory Solutions,742976057,,-,1
34983,Amarillo Cataract and Eye Surgery Center,Outpatient Services,Amarillo,TX,Potter,79106,791,74490,Baptist St Anthonys Health System,752794967,,ASC061,1
34986,Bailey Square Surgery Center,Outpatient Services,Austin,TX,Travis,78705,787,127230,St Davids Healthcare - HCA,752467365,,451004,1
34990,South Austin Surgery Center,Outpatient Services,Austin,TX,Travis,78745,787,127230,St Davids Healthcare - HCA,300924492,,-,1
35020,Dallas Ophthalmology Surgery Center,Outpatient Services,Dallas,TX,Dallas,75205,752,323054,PHCS Direct Contracts,752153279,,-,1
35031,Surgeyecare,Outpatient Services,Dallas,TX,Dallas,75231,752,35031,Surgeyecare,752184300,,-,1
35037,Baylor Scott and White Surgicare - North Dallas,Outpatient Services,Dallas,TX,Dallas,75251,752,323524,Baylor Scott and White Health,752900902,,ASC131,1
35038,Lufkin Endoscopy Center,Outpatient Services,Lufkin,TX,Angelina,75904,759,35038,Lufkin Endoscopy Center,204411582,,-,1
35049,Surgical Center Of El Paso,Outpatient Services,El Paso,TX,El Paso,79902,799,31280,El Paso Healthcare System,621846494,,-,1
35058,Gastroenterology Consultants of San Antonio,Outpatient Services,San Antonio,TX,Bexar,78229,782,395180,Gastroenterology Consultants of San Antonio,741967809,,-,1
35076,NovaMed Surgery Center of Tyler,Outpatient Services,Tyler,TX,Smith,75701,757,379856,Surgery Partners,680510003,,-,1
35077,De Haven Surgical Center,Outpatient Services,Tyler,TX,Smith,75702,757,35077,De Haven Surgical Center,752342052,,-,1
35078,Tyler Square Surgery Center,Outpatient Services,Tyler,TX,Smith,75702,757,321246,Trinity Mother Frances Health System,750818167,,450102,1
35746,Clarksville Nursing Center,Long Term,Clarksville,TX,Red River,75426,754,652929,Advanced Healthcare Solutions,742570068,,455985,1
35763,Wedgewood Nursing Home,Long Term,Fort Worth,TX,Tarrant,76133,761,652929,Advanced Healthcare Solutions,751256948,,455572,1
35834,Weatherford Healthcare Center,Long Term,Weatherford,TX,Parker,76086,760,304198,SavaSeniorCare Administrative Services,751362671,,-,1
35836,White Settlement Nursing Center,Long Term,White Settlement,TX,Tarrant,76108,761,652929,Advanced Healthcare Solutions,751256948,,455475,1
35912,East Houston Surgery Center,Outpatient Services,Houston,TX,Harris,77015,770,35912,East Houston Surgery Center,760524675,,-,1
35916,Mann Cataract Surgery Center,Outpatient Services,Humble,TX,Harris,77338,773,371052,Mann Eye Institute And Laser Centers,752841034,,-,1
36100,TOPS Surgical Specialty Hospital,Acute Care Gen,Houston,TX,Harris,77090,770,701482,Tenet Healthcare-National,760246499,,-,1
36489,Labcorp,Diagnostic Service,Houston,TX,Harris,77081,770,51518,Laboratory Corporation of America Holdings,840611484,,-,1
36490,Laboratory Corporation of America,Diagnostic Service,Amarillo,TX,Potter,79106-2169,791,51518,Laboratory Corporation of America Holdings,840611484,,AB03151,1
36490,Laboratory Corporation of America,Physical Rehab,Amarillo,TX,Potter,79106-2169,791,51518,Laboratory Corporation of America Holdings,840611484,,AB03151,1
36493,Labcorp,Diagnostic Service,Dallas,TX,Dallas,75230,752,51518,Laboratory Corporation of America Holdings,840611484,,-,1
36495,Laboratory Corporation Of America,Diagnostic Service,Houston,TX,Harris,77040-3143,770,51518,Laboratory Corporation of America Holdings,840611484,,CL0141,1
36500,Labcorp,Diagnostic Service,Tomball,TX,Harris,77375,773,51518,Laboratory Corporation of America Holdings,840611484,,-,1
36504,Labcorp,Diagnostic Service,Tyler,TX,Smith,75701,757,51518,Laboratory Corporation of America Holdings,840611484,,-,1
37065,Med-Equip - TX,Home Care,Waco,TX,McLennan,76712,767,57719,Med Group,742428342,,0563220002,1
37097,Brazos Valley Physical Therapy,Physical Rehab,Mineral Wells,TX,Palo Pinto,76067,760,50247,US Physical Therapy,760407118,,336216,1
37501,Bay Area Physical Therapy Center,Physical Rehab,Corpus Christi,TX,Nueces,784122423,784,37501,Bay Area Physical Therapy Center,742412078,,-,1
37615,Medical City Surgery Center Fort Worth,Outpatient Services,Fort Worth,TX,Tarrant,76104,761,91114,North Texas Division - HCA,621489404,,451157,1
37728,Lincoln Heights Physical Therapy,Physical Rehab,San Antonio,TX,Bexar,78209,782,37728,Lincoln Heights Physical Therapy,742645139,,-,1
37753,UT Health North Campus Tyler,Acute Care Gen,Tyler,TX,Smith,75708,757,724390,East Texas Health System,756001354,,450690,1
37954,Cleveland Physical Therapy,Physical Rehab,Cleveland,TX,Liberty,77327,773,50247,US Physical Therapy,760410649,,339189,1
38285,Select Physical Therapy,Home Care,Pasadena,TX,Harris,77505,775,30447,Select Subsidiaries,631133454,,456726,1
38285,Select Physical Therapy,Other,Pasadena,TX,Harris,77505,775,30447,Select Subsidiaries,631133454,,456726,1
38285,Select Physical Therapy,Physical Rehab,Pasadena,TX,Harris,77505,775,30447,Select Subsidiaries,631133454,,456726,1
38389,Memorial Hermann Surgery Center - Woodlands Parkway,Home Care,The Woodlands,TX,Montgomery,77380,773,39708,Memorial Hermann Hospital System,273520409,,ASC424,1
38389,Memorial Hermann Surgery Center - Woodlands Parkway,Outpatient Services,The Woodlands,TX,Montgomery,77380,773,39708,Memorial Hermann Hospital System,273520409,,ASC424,1
38878,Affiliated Healthcare,Home Care,Houston,TX,Harris,77046,770,206956,Vital Care,232505962,,-,1
39584,Kell West Regional Hospital,Acute Care Gen,Wichita Falls,TX,Wichita,76310,763,323054,PHCS Direct Contracts,752756307,,450827,1
39772,Memorial Hermann Home Health,Home Care,Houston,TX,Harris,77024,770,39708,Memorial Hermann Hospital System,760689675,,457741,1
40099,Christus Spohn Hospital Corpus Christi South,Acute Care Gen,Corpus Christi,TX,Nueces,78414,784,207627,Christus Health Ark-La-Tex,741109836,,450046,1
40101,Encompass Health Rehabilitation Hospital of The Woodlands,Physical Rehab,Shenandoah,TX,Montgomery,77384,773,24029,Encompass Health,631105909,,453059,1
40575,Kindred Hospital - Tarrant County - Arlington,Acute Care Gen,Arlington,TX,Tarrant,76011,760,731498,Kindred Healthcare Operating,752451969,,452028,1
40578,Kindred Hospital - Houston Northwest,Acute Care Gen,Houston,TX,Harris,77065,770,731498,Kindred Healthcare Operating,752504884,,452039,1
40665,Covenant Childrens Hospital,Acute Care Gen,Lubbock,TX,Lubbock,79410,794,321291,Covenant Childrens Hospital,752428911,,453306,1
40927,Kaufman P T & Rehabilitation Center,Physical Rehab,Kaufman,TX,Kaufman,75142-7362,751,112344,Physical Therapy & Rehab Centers,752318416,,-,1
42151,Medical City Surgery Center Park Central,Outpatient Services,Dallas,TX,Dallas,75251,752,91114,North Texas Division - HCA,752290624,,451020,1
42221,VNA Collin,Home Care,McKinney,TX,Collin,75071-5741,750,42221,VNA Collin,760421133,,-,1
42226,Vna Of Texarkana,Home Care,Texarkana,TX,Bowie,75501,755,42226,Vna Of Texarkana,760421133,,-,1
42351,Kindred Hospital - San Antonio,Acute Care Gen,San Antonio,TX,Bexar,78229,782,731498,Kindred Healthcare Operating,522085561,,452016,1
42520,Encompass Health Rehabilitation Hospital of Midland Odessa,Physical Rehab,Midland,TX,Midland,79707,797,24029,Encompass Health,631105911,,453057,1
42531,Homelink,Other,San Angelo,TX,Tom Green,76904,769,316224,Homelink,421280573,,-,1
42531,Homelink,Physical Rehab,San Angelo,TX,Tom Green,76904,769,316224,Homelink,421280573,,-,1
42689,Clinical Pathology Lab,Diagnostic Service,Houston,TX,Harris,77041,770,42689,Clinical Pathology Lab,760208450,,-,1
43897,Brem Physical Therapy Associates,Physical Rehab,San Antonio,TX,Bexar,78217,782,43897,Brem Physical Therapy Associates,134202889,,-,1
44789,Texas Health Specialty Hospital Fort Worth,Outpatient Services,Ft Worth,TX,Tarrant,76104,761,140283,Texas Health Resources,751648589,,452018,1
44878,Kindred Hospital - Tarrant County - Fort Worth Southwest,Acute Care Gen,Fort Worth,TX,Tarrant,76132,761,731498,Kindred Healthcare Operating,752451969,,452028,1
44898,Doctors Surgery Center,Other,Houston,TX,Harris,77074,770,311980,Flex Orthopedic Services,841470762,,-,1
44898,Doctors Surgery Center,Outpatient Services,Houston,TX,Harris,77074,770,311980,Flex Orthopedic Services,841470762,,-,1
44918,Abilene Endoscopy Center,Outpatient Services,Abilene,TX,Taylor,79601,796,37570,AmSurg,621562008,,-,1
44919,Endoscopy Center of Southeast Texas,Outpatient Services,Beaumont,TX,Jefferson,77702,777,37570,AmSurg,621536529,,-,1
45028,Houston Methodist Willowbrook Hospital,Acute Care Gen,Houston,TX,Harris,77070,770,101460,Methodist Hospital,760545192,,450844,1
45259,Texas Health Springwood Behavioral Health Hospital,Behavioral Health,Bedford,TX,Tarrant,76022,760,140283,Texas Health Resources,751438726,,45S639,1
45309,Select Physical Therapy,Home Care,Sugar Land,TX,Fort Bend,77479,774,30447,Select Subsidiaries,631133454,,0A4791,1
45309,Select Physical Therapy,Other,Sugar Land,TX,Fort Bend,77479,774,30447,Select Subsidiaries,631133454,,0A4791,1
45309,Select Physical Therapy,Physical Rehab,Sugar Land,TX,Fort Bend,77479,774,30447,Select Subsidiaries,631133454,,0A4791,1
46046,Medical City Surgery Center Las Colinas,Outpatient Services,Irving,TX,Dallas,75038,750,91114,North Texas Division - HCA,752490627,,451177,1
46047,Labcorp,Diagnostic Service,Austin,TX,Travis,78745,787,51518,Laboratory Corporation of America Holdings,840611484,,-,1
46210,Coleman County Medical Center,Acute Care Gen,Coleman,TX,Coleman,76834,768,368846,Coleman County Medical Center,453780407,,451347,1
46265,Texas Orthopedic Hospital,Acute Care Gen,Houston,TX,Harris,77030,770,366234,HCA Houston Healthcare,760418502,,450804,1
46274,Olsten Kimberly Quality Care,Home Care,Clarendon,TX,Donley,79226,792,46274,Olsten Kimberly Quality Care,362610611,,-,1
46428,Rio Grande Surgery Center,Outpatient Services,McAllen,TX,Hidalgo,78503,785,46428,Rio Grande Surgery Center,742660868,,451152,1
46450,Hunt Physical Therapy Greenville,Physical Rehab,Greenville,TX,Hunt,75402,754,368310,First Call IV Pharmacy,421538627,,450352,1
46450,Hunt Physical Therapy Greenville,Physical Rehab,Greenville,TX,Hunt,75402,754,6740713,Hunt Memorial Hospital District,751277293,,450352,1
46452,Faith Community Hospital,Acute Care Gen,Jacksboro,TX,Jack,76458,764,46452,Faith Community Hospital,756004585,,450241,1
46453,Knox County Hospital,Acute Care Gen,Knox City,TX,Knox,79529,795,46453,Knox County Hospital,750808798,,451394,1
46477,W J Mangold Memorial Hospital,Acute Care Gen,Lockney,TX,Floyd,79241,792,74490,Baptist St Anthonys Health System,751424965,,451337,1
46517,Regional Physical Therapy Center,Physical Rehab,Lufkin,TX,Angelina,75901,759,50247,US Physical Therapy,760429008,,456703,1
46571,Muleshoe Area Medical Center,Acute Care Gen,Muleshoe,TX,Bailey,79347,793,206363,Muleshoe Area Medical Center,471743325,,451372,1
46572,Hardeman County Memorial Hospital,Acute Care Gen,Quanah,TX,Hardeman,79252,792,321389,Hardeman County Memorial Hospital,756002047,,451352,1
46938,South Austin Dialysis,Outpatient Services,Austin,TX,Travis,78745,787,93255,DaVita,201561159,,452892,1
46939,Sportcare Physical Therapy,Physical Rehab,Fort Worth,TX,Tarrant,76107,761,46939,Sportcare Physical Therapy,752409120,,-,1
47266,Capital Homecare,Diagnostic Service,Sherman,TX,Grayson,75092,750,720703,Falcon South Plains Hospice,830345019,,679384,1
47266,Capital Homecare,Home Care,Sherman,TX,Grayson,75092,750,720703,Falcon South Plains Hospice,830345019,,679384,1
47271,Interim Healthcare Of West Texas,Home Care,Odessa,TX,Ector,79762,797,47271,Interim Healthcare Of West Texas,522340706,,-,1
47275,Bayou Homecare,Diagnostic Service,San Antonio,TX,Bexar,78213,782,395124,Sante Rehabilitation Group,752859828,,677504,1
